design_id,source_name,source_url,evidence_date,evidence_status,line_number,material_name_original,size_displayed,quantity_displayed,source_price_displayed,currency,earthward_variant_id,earthward_mapping_status,earthward_cost,earthward_price_input_status,notes
zhulegezhu-design-square-20260714-muzhilanqing,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,白水晶跑环,6mm,1,15.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-muzhilanqing,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,隔片,8mm,2,2.50,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-muzhilanqing,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,沉香,6mm,30,7.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-muzhilanqing,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,羊猴守护神(沙金),12.3mm,1,16.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,花丝莲花,10mm,1,20.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,圆珠(钛钢),3mm,2,1.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,白水晶,8mm,2,4.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,钱币,5mm,2,10.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,红玛瑙,6mm,2,1.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,隔片,6mm,4,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,7,白水晶,6mm,2,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,8,蜜蜡,8mm,14,38.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zidingshangan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,乌拉圭紫水晶,8mm,19,7.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zidingshangan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,荷叶隔片,8mm,1,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zidingshangan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,花托银色,6mm,2,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zidingshangan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,花托银色,6mm,2,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zidingshangan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,白水晶,8mm,3,4.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zidingshangan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,五瓣花,8mm,1,8.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhuyingfu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,锆石隔片,6mm,16,4.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhuyingfu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,圆珠(钛钢),8mm,16,3.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhuyingfu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,火柴棍,10mm,3,4.50,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhuyingfu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,桃花(沙金),9mm,1,20.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhuyingfu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,花丝葫芦(沙金),11.3mm,1,20.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinzhuyingfu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,福字,5mm,1,5.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-chanhui,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,蝴蝶,10mm,2,6.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-chanhui,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,十字架,10mm,2,3.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-chanhui,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,十字架,8mm,4,3.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-chanhui,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,十字架,7mm,1,3.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-chanhui,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,红玛瑙,6mm,12,1.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-chanhui,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,双面莲,8mm,2,3.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-chanhui,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,7,贝珠,6mm,13,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,红玛瑙,8mm,2,1.50,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,鸽血红草莓晶,8mm,2,9.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,草莓晶,8mm,2,4.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,紫金砂,8mm,2,3.50,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,蝴蝶,10mm,1,6.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,帝王砂,8mm,2,3.50,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,7,流苏,2mm,1,8.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,8,隔片,6mm,10,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,9,桂花,6mm,4,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,10,贝珠,6mm,8,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-zhaohelu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,11,铃兰,10mm,1,12.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-fuxinggaozhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,紫金砂,8mm,1,3.50,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-fuxinggaozhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,花丝球,8mm,1,8.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-fuxinggaozhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,圆珠(钛钢),3mm,15,1.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-fuxinggaozhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,招财葫芦,6mm,1,20.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-fuxinggaozhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,黑曜石,6mm,17,1.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-fuxinggaozhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,兔守护神(沙金),12.3mm,1,16.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-fuxinggaozhao,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,7,白幽灵,6mm,2,3.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-danning,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,沉香隔片,12mm,6,10.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-danning,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,白水晶冰块,11mm,1,18.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-danning,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,碧玉,4mm,4,12.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-danning,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,桃花(沙金),9mm,1,20.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-danning,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,南红,10mm,12,60.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuexu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,淡水珍珠,8mm,1,28.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuexu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,海纹石,8mm,1,39.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuexu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,蜜蜡,8mm,1,38.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuexu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,隔片,6mm,12,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuexu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,青金石,8mm,1,10.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuexu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,碧玉(带黑点),8mm,1,35.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuexu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,7,白水晶弯管,25mm,6,58.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuexu,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,8,南红,8mm,1,35.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-qingpingle,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,淡水珍珠,8mm,5,28.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-qingpingle,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,淡水珍珠,6mm,4,10.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-qingpingle,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,圆珠(钛钢),3mm,10,1.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-qingpingle,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,绿松石隔珠,6mm,4,4.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-qingpingle,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,贝珠,10mm,3,6.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-qingpingle,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,鸡守护神(沙金),12.3mm,1,16.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-qingpingle,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,7,花托金色,6mm,5,3.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-qingpingle,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,8,花托金色,6mm,5,3.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-qingpingle,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,9,绿松石,8mm,3,5.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-ziqidonglai,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,紫锂辉,8mm,19,8.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-ziqidonglai,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,延长链,25mm,1,8.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-ziqidonglai,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,钱币,5mm,2,10.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-ziqidonglai,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,银珠(S925),6mm,3,24.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-ziqidonglai,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,花托银色,6mm,2,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-ziqidonglai,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,花托银色,6mm,2,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-ziqidonglai,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,7,两世欢,10mm,1,25.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-ziqidonglai,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,8,花丝葫芦(沙金),11.3mm,1,20.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-miaoyupingan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,银珠(s925),3mm,23,5.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-miaoyupingan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,圆珠(钛钢),3mm,22,1.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-miaoyupingan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,银珠(s925),8mm,2,48.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-miaoyupingan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,桂花,6mm,2,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-miaoyupingan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,大头KT猫(沙金),11.5mm,1,25.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-miaoyupingan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,6,平安喜乐,10mm,1,18.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-lvlvlvlv,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,白水晶,6mm,12,2.00,CNY,,pending,,,用户提供的详情截图首屏可见；完整清单待采集。
zhulegezhu-design-square-20260714-lvlvlvlv,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,葫芦链,55mm,1,15.00,CNY,,pending,,,用户提供的详情截图首屏可见；完整清单待采集。
zhulegezhu-design-square-20260714-lvlvlvlv,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,流苏,2mm,1,8.00,CNY,,pending,,,用户提供的详情截图首屏可见；完整清单待采集。
zhulegezhu-design-square-20260714-lvlvlvlv,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,葡萄石,6mm,12,4.00,CNY,,pending,,,用户提供的详情截图首屏可见；完整清单待采集。
zhulegezhu-design-square-20260714-lvlvlvlv,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,绿草莓晶,8mm,6,4.00,CNY,,pending,,,用户提供的详情截图首屏可见；完整清单待采集。
zhulegezhu-design-square-20260714-baguajinlian,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,圆珠(钛钢),3mm,11,1.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-baguajinlian,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,黑曜石,6mm,12,1.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-baguajinlian,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,贝珠,6mm,12,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-baguajinlian,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,鼠狗猪守护神(沙金),12.3mm,1,16.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinyuliangyuan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,绣球隔珠,4mm,14,25.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinyuliangyuan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,碧玉(带墨点),8mm,15,35.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-jinyuliangyuan,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,莲花沙金(沙金),12mm,1,15.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuanxiang,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,白水晶,8mm,16,4.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuanxiang,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,隔片,6mm,6,2.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuanxiang,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,3,沉香隔片,12mm,2,10.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuanxiang,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,4,沉香隔片,11mm,2,10.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-yuanxiang,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,5,沉香隔片,12mm,4,10.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-tiankongzhijing,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,1,白水晶,8mm,19,4.00,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
zhulegezhu-design-square-20260714-tiankongzhijing,珠了个珠,#小程序://珠了个珠/j4zsMN0DmoU7ZZu,2026-07-14,verified-public,2,隔片,8mm,4,2.50,CNY,,pending,,,来源详情页显示值；不推断为整串成本。
