"source_name","source_url","evidence_date","evidence_status","component_type","category","sub_category","name_original","name_en_suggestion","size_mm","price_visible","currency","image_evidence_url_or_screenshot","material_or_color","compatible_bead_sizes","orientation_mode","notes","production_ready"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","紫水晶","Amethyst","8","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；智慧双生/紫气东来）","purple","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","黄塔晶","Yellow Tower Crystal","9","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；智慧双生）","yellow","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","白水晶","Clear Quartz","6","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；智慧双生）","clear","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","白阿塞","White Azeztulite","13","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；紫气东来）","white","","","原始中文名称保留；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","黑金超七","Black-Gold Super Seven","10","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；棕棣）","black-gold","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","冰曜石","Snowflake Obsidian","10","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；棕棣）","black","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","白兔毛","White Rutilated Quartz","6","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；紫运宏图）","white","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","紫锂辉","Purple Kunzite","12","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；紫运宏图）","purple","","","原始中文名称保留；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","乌拉圭紫水晶","Uruguayan Amethyst","12","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；紫运宏图）","purple","","","可见数量为2；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","紫阿赛","Purple Azeztulite","12","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；紫运宏图）","purple","","","原始中文名称保留；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","紫马粉","Purple Peach Moonstone","12","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；紫运宏图）","purple-pink","","","原始中文名称保留；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","海蓝宝","Aquamarine","10","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；绵绵芭蕾）","blue","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","粉水晶","Rose Quartz","11","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；绵绵芭蕾）","pink","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","草莓晶","Strawberry Quartz","11","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；绵绵芭蕾）","pink-red","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","薰衣草紫","Lavender Amethyst","11","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；绵绵芭蕾）","lavender","","","原始中文名称保留；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","紫兔毛","Purple Rutilated Quartz","10","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；绵绵芭蕾）","purple","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","柠檬晶","Lemon Quartz","11","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；绵绵芭蕾）","yellow","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","白水晶","Clear Quartz","8","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；绵绵芭蕾）","clear","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","海蓝宝","Aquamarine","6","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；缤纷夏日）","blue","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"晶奥之境","#小程序://晶奥之境/UKkFvNofsbW8QBi","2026-07-13","verified-public","bead","crystal","finished-design-recipe","粉水晶","Rose Quartz","12","","CNY","微信桌面端小程序“晶奥之境DIY”精选成品卡片截图（2026-07-13；缤纷夏日）","pink","","","仅作为成品卡配方中可见的素材与尺寸；未见单颗价格","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","乌拉圭紫","Uruguayan Amethyst","11","7","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","乌拉圭紫","Uruguayan Amethyst","7","2.5","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","乌拉圭紫","Uruguayan Amethyst","6","2","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","乌拉圭紫","Uruguayan Amethyst","8","3","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","乌拉圭紫","Uruguayan Amethyst","9","4","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","乌拉圭紫","Uruguayan Amethyst","10","6","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","乌拉圭紫","Uruguayan Amethyst","12","8","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","乌拉圭紫","Uruguayan Amethyst","14","12","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","薰衣草紫","Lavender Amethyst","13","9","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","薰衣草紫","Lavender Amethyst","11","7","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","薰衣草紫","Lavender Amethyst","7","3","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","薰衣草紫","Lavender Amethyst","8","4","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","薰衣草紫","Lavender Amethyst","9","5","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","薰衣草紫","Lavender Amethyst","10","6","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","薰衣草紫","Lavender Amethyst","12","8","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","薰衣草紫","Lavender Amethyst","14","12","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂辉","Purple Kunzite","8","5","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂辉","Purple Kunzite","7","4","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂辉","Purple Kunzite","9","6","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂辉","Purple Kunzite","10","8","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂辉","Purple Kunzite","11","10","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂辉","Purple Kunzite","12","12","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂辉","Purple Kunzite","13","14","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂辉","Purple Kunzite","14","16","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂云母","Purple Lepidolite","8","10","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂云母","Purple Lepidolite","7","9","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂云母","Purple Lepidolite","9","12","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂云母","Purple Lepidolite","10","15","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂云母","Purple Lepidolite","11","20","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂云母","Purple Lepidolite","12","24","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂云母","Purple Lepidolite","13","27","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫锂云母","Purple Lepidolite","14","30","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","薰衣草紫色萤石","Lavender Purple Fluorite","8","4","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","薰衣草紫色萤石","Lavender Purple Fluorite","9","6","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫萤石","Purple Fluorite","9","5","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫萤石","Purple Fluorite","8","3.5","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫萤石","Purple Fluorite","7","2.5","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫塔晶","Purple Tower Crystal","7","6","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫塔晶","Purple Tower Crystal","8","8","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫塔晶","Purple Tower Crystal","9","10","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫塔晶","Purple Tower Crystal","10","12","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"记珠","#小程序://记珠/eF6cF6jK1Ibdvpp","2026-07-13","verified-public","bead","crystal","purple-series","紫塔晶","Purple Tower Crystal","12","15","CNY","微信桌面端小程序“优瑞塔记珠”DIY紫色系散珠网格截图（2026-07-13）","purple","","","公开单颗价；紫塔晶10mm显示补货中","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","A级白水晶","Grade A Clear Quartz","6","1.82","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价;双圈起做","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","A级白水晶","Grade A Clear Quartz","8","3.84","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","A级白水晶","Grade A Clear Quartz","10","7.66","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","A级白水晶","Grade A Clear Quartz","12","11.97","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","A级白水晶","Grade A Clear Quartz","14","18.66","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","双A级白水晶","Double Grade A Clear Quartz","6","3.25","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价;双圈起做","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","双A级白水晶","Double Grade A Clear Quartz","8","6.89","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","双A级白水晶","Double Grade A Clear Quartz","10","13.79","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","双A级白水晶","Double Grade A Clear Quartz","12","21.55","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","双A级白水晶","Double Grade A Clear Quartz","14","33.6","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","白阿赛","White Azeztulite","6","1.44","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价;双圈起做","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","白阿赛","White Azeztulite","8","3.07","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","白阿赛","White Azeztulite","10","6.13","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","白阿赛","White Azeztulite","12","9.58","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
"拾光水晶","#小程序://拾光水晶/Aln6WScGjixBybx","2026-07-13","verified-public","bead","crystal","clear-crystal","白阿赛","White Azeztulite","14","14.94","CNY","微信桌面端小程序“拾光水晶DIY手串”珠子页截图（2026-07-13；白水晶分类）","clear","","","公开单颗价","no"
