material_key,name_en,category_label
linganshi-83288d92b0c3,Sunstone,Moonstone & Labradorite
linganshi-ae13e4de6b10,Moonstone,Moonstone & Labradorite
linganshi-896823121986,Golden Sunstone,Moonstone & Labradorite
linganshi-7a746e73a783,Clear Grey Moonstone,Moonstone & Labradorite
linganshi-bad5e3f91f82,Double-Eye Gold Obsidian,Obsidian
linganshi-b0c7e55c0bad,Double-Eye Silver Obsidian,Obsidian
linganshi-1dfab1b15c90,High-Clarity Ice Obsidian,Obsidian
linganshi-308eb17b6dc4,Amazonite,Amazonite
linganshi-2a4f027040ec,Southern Red Agate,Southern Red Agate
linganshi-8fff1154d11c,Green Dragon Stone,Green Dragon Stone
linganshi-f8f86597c85c,Purple Mica,Purple Mica
linganshi-fefc0a4edfbc,Green Aventurine,Other
linganshi-7f1e66157d42,Cinnabar,Other
linganshi-aa4ea15d8063,Prehnite,Other
linganshi-8e5eaf3a1f3e,Umbrella Tassel Pendant,Charms & Pendants
linganshi-17eb845ffe7c,Zircon Butterfly Pendant Silver,Charms & Pendants
linganshi-f6c328ba4d6a,Zircon Butterfly Pendant Gold,Charms & Pendants
linganshi-c51c34d1b9a6,Gold Conical Pendant,Charms & Pendants
linganshi-576a235a317a,Silver Conical Pendant,Charms & Pendants
linganshi-627d4ada88b2,Half Butterfly Silver,Charms & Pendants
linganshi-a77045ea9e51,Half Butterfly Gold,Charms & Pendants
linganshi-392bd02de388,Openwork Leaf Pendant,Charms & Pendants
linganshi-3045dc502e71,Peace & Safety,Charms & Pendants
linganshi-a64387696c13,Small Gold Bar Pendant,Charms & Pendants
linganshi-55df064bffc6,Small Gold Brick Pendant,Charms & Pendants
linganshi-5a19489502c2,Gold Focal Bead Pendant,Charms & Pendants
linganshi-d46657f2b0b9,Silver Focal Bead Pendant,Charms & Pendants
linganshi-cc46fafe0fdc,Floral Pendant,Charms & Pendants
linganshi-382169675862,Multi-Leaf Pendant,Charms & Pendants
linganshi-2ab73247dd54,Blooming Flower Pendant,Charms & Pendants
linganshi-522fd3caefa6,Antique Lotus Pendant,Charms & Pendants
linganshi-285cca40d59c,Butterfly Pearl,Charms & Pendants
linganshi-1044437c1668,Gold Small Square Block,Spacers & Separators
linganshi-362e2aaa6a9e,Silver Small Square Block,Spacers & Separators
linganshi-b3b66eb20372,Agarwood Square Bead,Spacers & Separators
linganshi-8934192a86ee,Diamond-Shaped Zircon Spacer Ring Gold,Spacers & Separators
linganshi-ac2ab6b5a135,Diamond-Shaped Zircon Spacer Ring Silver,Spacers & Separators
linganshi-082e640c8292,Zircon Long Spacer Ring Silver,Spacers & Separators
linganshi-23da353b5360,Zircon Long Spacer Ring Gold,Spacers & Separators
linganshi-c6e86a8b997f,Zircon Spacer Ring Gold,Spacers & Separators
linganshi-8c0d4f314534,Zircon Spacer Ring Silver,Spacers & Separators
linganshi-cb9e890f26a5,Zircon Spacer Ring,Spacers & Separators
linganshi-3e5701300c13,Deep Purple Zircon Small Spacer,Spacers & Separators
linganshi-5e0fe6253f83,Four Square Spacer Bead Gold,Spacers & Separators
linganshi-a6b0a66ed039,Four Square Spacer Bead Silver,Spacers & Separators
linganshi-045e5e38d250,Tibetan Silver Faceted Spacer Bead,Spacers & Separators
linganshi-3410889943dd,Silver Focal Bead Spacer,Spacers & Separators
linganshi-06ca35890dd8,Tibetan Silver Double Flower,Spacers & Separators
linganshi-8aca9b0b6ae2,Silver Curved Spacer,Spacers & Separators
linganshi-80e949a343a5,Gold Curved Spacer,Spacers & Separators
linganshi-ef07404d9a2e,Gold Cat,Spacers & Separators
linganshi-e468bfde9577,Gold Floral Accent,Spacers & Separators
linganshi-15b0d8fccb5c,Openwork Gold Wire Ball,Spacers & Separators
linganshi-0f4a9a654398,Openwork Silver Wire Ball,Spacers & Separators
linganshi-8f85859e720c,Small Spacer Bead Gold,Spacers & Separators
linganshi-775f0862787e,Small Spacer Bead Silver,Spacers & Separators
linganshi-65b6ba9e3f7c,Spacer Bead Gold,Spacers & Separators
linganshi-6bb35fb1f2bb,Spacer Bead Silver,Spacers & Separators
linganshi-7ba451a13fc8,Heart Spacer Ring Gold,Spacers & Separators
linganshi-5451c6859cfb,Heart Spacer Ring Silver,Spacers & Separators
linganshi-84741e7ed0d3,Long Zircon Spacer Ring Silver,Spacers & Separators
linganshi-551fde91cbd3,Flower Long Spacer Ring Gold,Spacers & Separators
linganshi-66adb07cee03,Flower Long Spacer Ring Silver,Spacers & Separators
linganshi-38577369fe90,Openwork Spacer Ring Gold,Spacers & Separators
linganshi-e434ac5d14b3,Openwork Spacer Ring Silver,Spacers & Separators
linganshi-652cd9ec1839,Fine Openwork Spacer Ring Gold,Spacers & Separators
linganshi-e532ba59e93e,Fine Openwork Spacer Ring Silver,Spacers & Separators
linganshi-dd7e32d07e05,Openwork Spacer Bead Gold,Spacers & Separators
linganshi-1027ebb7c93e,Openwork Spacer Bead Silver,Spacers & Separators
linganshi-8db684233f88,Openwork Ring Spacer Silver,Spacers & Separators
linganshi-23996a8f50f5,Four-Ring Ring Spacer Gold,Spacers & Separators
linganshi-274ca1f3954c,Four-Ring Ring Spacer Silver,Spacers & Separators
linganshi-ff00c8c86629,Four-Ring Spacer Ring Gold,Spacers & Separators
linganshi-a9e450e56287,Four-Ring Spacer Ring Silver,Spacers & Separators
linganshi-9749f09f983d,Single-Row Pearl Spacer Ring Gold,Spacers & Separators
linganshi-95b0e44ec58f,Single-Row Pearl Spacer Ring Silver,Spacers & Separators
linganshi-40135744175b,Double-Row Pearl Spacer Ring,Spacers & Separators
linganshi-c57cb4d783fd,Floral Inlay Spacer Ring Silver,Spacers & Separators
linganshi-145c01599bbf,Floral Inlay Spacer Ring Gold,Spacers & Separators
linganshi-26293991f449,Five-Leaf Ring,Spacers & Separators
linganshi-bcde88687668,Thorn Spacer Ring Gold,Spacers & Separators
linganshi-cc32a71851fb,Thorn Spacer Ring Silver,Spacers & Separators
linganshi-bddac8664eb3,Gold-Ridge Spacer Ring,Spacers & Separators
linganshi-cd1d7bf0a229,Double-Ring Gold,Spacers & Separators
linganshi-b8af7520d7e1,Double-Ring Silver,Spacers & Separators
linganshi-872026bf8b4f,Water-Ridge Spacer Bead,Spacers & Separators
linganshi-8250e06aa9d7,Zircon Butterfly Gold,Spacers & Separators
linganshi-31f691ae7cd9,Zircon Butterfly Silver,Spacers & Separators
linganshi-00febbc2a68a,Antique Silver Bead Cap,Spacers & Separators
linganshi-a1abaa4735c1,Tibetan Silver Spacer Bead,Spacers & Separators
linganshi-538bd59b6e5c,Butterfly Accent Gold,Spacers & Separators
linganshi-71975c2e906d,Moon Butterfly Zircon Spacer Bead,Spacers & Separators
linganshi-3fab0fcfd39a,Antique Silver Spacer,Spacers & Separators
linganshi-766bb847bde2,Teardrop Zircon Gold,Spacers & Separators
linganshi-5bac338ba2ae,Double Flower Spacer Ring Gold,Spacers & Separators
linganshi-82d93ce1e54d,Silver Spacer,Spacers & Separators
linganshi-7fe630d3fb9e,Gold Spacer,Spacers & Separators
linganshi-16bcf75172f4,Gold Thick Spacer,Spacers & Separators
linganshi-13f30ac858fb,Classic Small Spacer Bead Gold,Spacers & Separators
linganshi-af9d75b78a85,Classic Small Spacer Bead Silver,Spacers & Separators
linganshi-cf003a9984a2,Tibetan Silver Flower Spacer Bead,Spacers & Separators
linganshi-30af6b066227,Tibetan Silver Spacer Ring,Spacers & Separators
linganshi-32e65197a8e6,Tibetan Silver Flower Spacer Ring,Spacers & Separators
linganshi-b8dd99467a1f,Tibetan Silver Auspicious Cloud Spacer Bead,Spacers & Separators
linganshi-96e39be22577,Tibetan Silver Diamond-Shaped Spacer Bead,Spacers & Separators
linganshi-40364be3b326,Tibetan Silver Hydrangea,Spacers & Separators
linganshi-5130a7282c13,Shell Pearl,Spacers & Separators
linganshi-a7db8d71e3a6,Amber Spacer,Spacers & Separators
linganshi-f9b34787e3cf,Tibetan Silver Ring Spacer,Spacers & Separators
linganshi-943050df5029,Tibetan Silver Ring Spacer Bead,Spacers & Separators
linganshi-a6ca0c312aa9,Tibetan Silver Multi Ring Spacer Bead,Spacers & Separators
linganshi-0e1e2b54ba0d,Tibetan Silver Curved Spacer Bead,Spacers & Separators
linganshi-0074596a581b,Tibetan Silver Ring-Shape Spacer,Spacers & Separators
linganshi-dfe39070354f,Antique Silver Square Spacer Ring,Spacers & Separators
linganshi-c39ab30e6111,Thick Sandalwood Spacer,Spacers & Separators
linganshi-72023ba74738,Large Zircon Locket Bead,Locket Beads
linganshi-b986fd86f2b3,White Zircon Locket Bead,Locket Beads
linganshi-4d6d856009e1,Floral Locket Bead Gold,Locket Beads
linganshi-3704d6371aff,Floral Locket Bead Silver,Locket Beads
linganshi-7fa486168d6c,Snowflake Locket Bead,Locket Beads
linganshi-3793e26c9b16,Oval Zircon Locket Bead Gold,Locket Beads
linganshi-32c467f2b5a4,Oval Zircon Locket Bead Silver,Locket Beads
linganshi-eb33dd592fbf,Four-Leaf Clover,Locket Beads
linganshi-f92df840c3f8,Layered Flower Gold,Locket Beads
linganshi-16195ee3bb6b,Layered Flower Silver,Locket Beads
linganshi-b834f9ba397d,Gourd Locket Bead Cream Yellow,Locket Beads
linganshi-ff3225d176df,Gourd Locket Bead Yellow,Locket Beads
linganshi-166f75e69063,Gourd Locket Bead Blue,Locket Beads
linganshi-fe68c148dfc7,Rose Quartz Five-Point Star,Locket Beads
linganshi-0ba384cca3f4,Citrine Five-Point Star,Locket Beads
linganshi-7bc5a18f7abe,Purple Zircon Locket Bead,Locket Beads
linganshi-26d2e6b21c85,Petal Zircon Bead Cap Left,Bead Caps
linganshi-ebbfca5ecd1c,Petal Zircon Bead Cap Right,Bead Caps
linganshi-65cd7dba308a,Zircon Bead Cap Left,Bead Caps
linganshi-a351d6c959bb,Zircon Bead Cap Right,Bead Caps
linganshi-c1b23ce44e89,Multi-Petal Bead Cap Gold Right,Bead Caps
linganshi-cb09d7871fff,Multi-Petal Bead Cap Gold Left,Bead Caps
linganshi-a9a49d63aed3,Multi-Petal Bead Cap Silver Right,Bead Caps
linganshi-4de2d968c91b,Multi-Petal Bead Cap Silver Left,Bead Caps
linganshi-484181eb1d7b,Plum Blossom Bead Cap Right,Bead Caps
linganshi-c1c92a412439,Plum Blossom Bead Cap Left,Bead Caps
linganshi-9669b67a4758,Small Gold Flower Bead Cap Right,Bead Caps
linganshi-bcd324daff7a,Small Gold Flower Bead Cap Left,Bead Caps
linganshi-98144af43011,Small Silver Flower Bead Cap Right,Bead Caps
linganshi-4db81c67c48f,Small Silver Flower Bead Cap Left,Bead Caps
linganshi-a9e15365ef4b,Amethyst Slider Bead,Slider Beads
linganshi-baffad9cc171,Clear White Slider Bead,Slider Beads
linganshi-04df8cfa883e,Obsidian Slider Bead,Slider Beads
linganshi-d8bca64e63e4,Sandalwood Slider Bead,Slider Beads
linganshi-60430dede3a6,Ice Obsidian Slider Bead,Slider Beads
linganshi-40308df2caa2,Shell Pearl Slider Bead,Slider Beads
linganshi-7906a35279f0,Aquamarine Slider Bead,Slider Beads
linganshi-3a4a7385dcf2,Grey Moonstone Slider Bead,Slider Beads
linganshi-4a3cfd29ac51,Green Stripe Stone Slider Bead,Slider Beads
linganshi-c2a426e18b03,Red Agate Slider Bead,Slider Beads
linganshi-df343b56b763,Strawberry Quartz Slider Bead,Slider Beads
linganshi-3ec23d18ef4c,Blue Moonstone Slider Bead,Slider Beads
linganshi-14b6b0eac9f5,Silver Obsidian Slider Bead,Slider Beads
linganshi-678d44619b0b,High-Grade Yellow Tower Quartz Focal Bead,Crystal Focal Beads
linganshi-5c3730065798,Clear Quartz Cube Bead Faceted,Crystal Focal Beads
linganshi-d1c4174f2195,Rose Quartz Focal Bead,Crystal Focal Beads
linganshi-db9942389884,Lemon Quartz Pineapple Bead,Crystal Focal Beads
linganshi-2613710cf420,Amber Barrel Bead,Crystal Focal Beads
linganshi-fbfc4f1a6508,Clear Quartz Barrel Bead,Crystal Focal Beads
linganshi-3fb8c72fb48c,Silver Obsidian Peace Button,Crystal Focal Beads
linganshi-06f955349c9e,Rose Quartz Peace Button,Crystal Focal Beads
linganshi-6a1c5a4bf9ec,Clear Quartz Peace Button,Crystal Focal Beads
linganshi-3740353a5906,Amber Spacer Bead,Crystal Focal Beads
linganshi-880425d40b03,Clear Quartz Faceted Spacer Bead,Crystal Focal Beads
linganshi-65fe8b72702f,Smoky Quartz Faceted Spacer Bead,Crystal Focal Beads
linganshi-95d385b0f142,Citrine Faceted Spacer Bead,Crystal Focal Beads
linganshi-ce9a8532eada,Yellow Tiger Eye Spacer Bead,Crystal Focal Beads
linganshi-034b0332ff51,Green Grape Milky Peace Button,Crystal Focal Beads
linganshi-1aa5f9860e1a,Yellow Tower Quartz Focal Bead Small,Crystal Focal Beads
linganshi-428b2f335d6c,Yellow Tower Quartz Focal Bead Large,Crystal Focal Beads
linganshi-1065609500ab,Lavender Amethyst Focal Bead,Crystal Focal Beads
linganshi-86bdc6bbc319,Amethyst Focal Bead,Crystal Focal Beads
linganshi-a31e0072cf48,Clear Quartz Focal Bead,Crystal Focal Beads
linganshi-fc9e19062a1b,Lavender Amethyst Cube Bead,Cube Beads
linganshi-357d40783341,Green Phantom Quartz Cube Bead,Cube Beads
linganshi-00d01dbc4189,Lemon Quartz Cube Bead,Cube Beads
linganshi-550c73db47a7,Yellow Garden Quartz Cube Bead,Cube Beads
linganshi-66733c11e322,Black Rutilated Quartz Cube Bead,Cube Beads
linganshi-c4bd386edeb4,Silver Obsidian Cube Bead,Cube Beads
linganshi-85ffe04aa3ac,Smoky Quartz Cube Bead,Cube Beads
linganshi-78735d72c694,Clear Quartz Cube Bead,Cube Beads
linganshi-264b4f29f093,Clear Quartz Long Cube Bead,Cube Beads
linganshi-c497a02f7f27,Milky White Cube Bead,Cube Beads
linganshi-7b942b8d48f4,Clear Quartz Cube Bead Diagonal,Cube Beads
linganshi-6ac7e3c12794,Amethyst Double Point,Cube Beads
linganshi-35697d9b06ea,Rose Quartz Double Point,Cube Beads
linganshi-de23241ba528,Citrine Double Point,Cube Beads
linganshi-48d3953b5778,Milky White Double Point,Cube Beads
linganshi-61a5d457b117,Silver Obsidian Double Point,Cube Beads
linganshi-c498bad20db6,Yellow Tower Quartz Double Point,Cube Beads
linganshi-28431f73787b,Clear Quartz Double Point,Cube Beads
linganshi-bfd0a844ebed,Red Garden Quartz Double Point,Cube Beads
linganshi-1b5891579467,Dark Red Garden Quartz,Cube Beads
linganshi-61bb2e4e0022,Smoky Quartz Double Point,Cube Beads
linganshi-dfaf7b0c5a63,Clear Quartz Butterfly,Carved Beads
linganshi-5c1caef26e2f,Lapis Lazuli Five-Star,Carved Beads
linganshi-5904bfe42bd2,Lemon Quartz Small Flower,Carved Beads
linganshi-fe11e47992ce,Aquamarine Moon,Carved Beads
linganshi-b2933f3911b1,Silver Obsidian Pi Xiu,Carved Beads
linganshi-2f2baa50f968,Black Gold Super Seven Pi Xiu,Carved Beads
linganshi-90c77f61794b,Aquamarine Four-Leaf Clover,Carved Beads
linganshi-11651b7030b2,Strawberry Quartz Heart,Carved Beads
linganshi-2a4c44cf5342,Aquamarine Heart,Carved Beads
linganshi-62645b1dd259,Clear Quartz Chubby Star,Carved Beads
linganshi-aed65521b2be,Clear Quartz Heart,Carved Beads
linganshi-59c843dec802,Rose Quartz Heart,Carved Beads
linganshi-1d1a79b7322f,Silver Obsidian Moon,Carved Beads
linganshi-6b309ef668a2,Silver Obsidian Lion Dance,Carved Beads
linganshi-75c2dce81935,Silver Obsidian Cat Paw,Carved Beads
linganshi-6418130ce28c,Silver Obsidian Chubby Star,Carved Beads
linganshi-7df96b54c91e,Obsidian Heart,Carved Beads
linganshi-c9fe24b58c6a,Smoky Quartz Bow,Carved Beads
linganshi-1c27f0ad8d08,Rose Quartz Small Flower,Carved Beads
linganshi-d4e7f709613a,Clear Quartz Bead Cap,Carved Beads
linganshi-cb6644f2ade6,Clear Quartz Little Bear,Carved Beads
linganshi-fd600620027e,Clear Quartz Faceted Bead,Faceted Beads
linganshi-537e629fd247,Citrine Faceted Bead,Faceted Beads
linganshi-b853c93c95d3,Citrine Curved Faceted Bead,Faceted Beads
linganshi-bbf05b11559a,Clear Quartz Diamond Cut,Faceted Beads
linganshi-4223d58035ae,Clear Quartz Oval Faceted Bead,Faceted Beads
linganshi-d4079378f5ef,Clear Quartz Cylinder Faceted Bead,Faceted Beads
linganshi-00fc2c8960fd,Smoky Quartz Faceted Bead,Faceted Beads
linganshi-179fb4c12d9c,Clear Quartz Curved Faceted Bead,Faceted Beads
